YP_009724389.1	P0DTD1
P0DTD2	P0DTD2
P0DTD3	P0DTD3
YP_009724390.1	P0DTC2
YP_009724391.1	P0DTC3
YP_009724392.1	P0DTC4
YP_009724393.1	P0DTC5
YP_009724394.1	P0DTC6
YP_009724395.1	P0DTC7
YP_009724396.1	P0DTC8
YP_009724397.2	P0DTC9
YP_009725255.1	A0A663DJA2
YP_009725296.1	P0DTD8
YP_009725297.1	mature
YP_009725298.1	mature
YP_009725299.1	mature
YP_009725300.1	mature
YP_009725301.1	mature
YP_009725302.1	mature
YP_009725303.1	mature
YP_009725304.1	mature
YP_009725305.1	mature
YP_009725306.1	mature
YP_009725307.1	mature
YP_009725308.1	mature
YP_009725309.1	mature
YP_009725310.1	mature
YP_009725311.1	mature
YP_009725312.1	mature
